Reservior,State,Installed_MWe,FirstGen
Amedee,California,1.6,1988
Beowawe,Nevada,19.9,1985
Blue Mountain,Nevada,49.5,2009
Bradys,Nevada,26.1,1992
Coso,California,302.0,1987
Cove Fort,Utah,25.0,2013
Desert Peak,Nevada,23.0,1985
Dixie Valley,Nevada,72.0,1988
Don Campbell,Nevada,42.0,2013
Florida Canyon,Nevada,0.075,2012
Goodsprings,Nevada,7.0,2010
Hammersley Canyon,Oregon,2.1,1984
Jersey Valley,Nevada,22.5,2010
Klamath Falls,Oregon,2.03,2010
Lightening Dock,New Mexico,4.0,2013
Mammoth,California,30.0,1984
McGinness Hills,Nevada,143.0,2012
Neal Hot Springs,Oregon,30.1,2012
Paisley,Oregon,3.0,2014
Patua ,Nevada,30.0,2013
Raft River,Idaho,15.8,2008
Rockford Ranch,Oregon,0.04,1982
Roosevelt,Utah,36.0,1984
Salt Wells,Nevada,23.6,2009
San Emidio,Nevada,15.4,1987
Soda Lake,Nevada,23.1,1987
Steamboat,Nevada,140.0,1986
Stillwater,Nevada,47.3,2009
Thermo,Utah,10.3,2009
Tungsten,Nevada,24.0,2017
Tuscaroa,Nevada,18.0,2012
Wabuska,Nevada,2.2,1984
Wendel,California,0.7,1985
